,tweet_id,text,retweeted_status_id,retweeted_status_user_id,expanded_urls,rating_numerator,rating_denominator,rt_date,rt_year,rt_month,rt_day,rt_time,t_time_a,rt_time_a,clean_source,internet_nickname,clean_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,Actual_Rating
231,847971574464610304,RT @basic_vacek_: I love my new mug easy 13/10 @dog_rates https://t.co/0bYtoL7Wwt,8.47971000004354e+17,597064155.0,"https://twitter.com/basic_vacek_/status/847971000004354048/photo/1,https://twitter.com/basic_vacek_/status/847971000004354048/photo/1",13,10,2017-04-01,2017.0,4.0,1.0,00:36:55 ,0,0.0,Twitter for iPhone,,None,https://pbs.twimg.com/media/C8SZH1EWAAAIRRF.jpg,1.0,coffee_mug,0.633652,False,cup,0.273392,False,toilet_tissue,0.0666558,False,,,1.3
247,845459076796616705,RT @dog_rates: Here's a heartwarming scene of a single father raising his two pups. Downright awe-inspiring af. 12/10 for everyone https://…,7.562885340304753e+17,4196983835.0,"https://twitter.com/dog_rates/status/756288534030475264/photo/1,https://twitter.com/dog_rates/status/756288534030475264/photo/1,https://twitter.com/dog_rates/status/756288534030475264/photo/1,https://twitter.com/dog_rates/status/756288534030475264/photo/1",12,10,2016-07-22,2016.0,7.0,22.0,00:43:32 ,2,0.0,Twitter for iPhone,,None,,,,,,,,,,,,,,1.2
250,845098359547420673,RT @dog_rates: This is Bungalo. She uses that face to get what she wants. It works unbelievably well. 12/10 would never say no to https://t…,7.733088242540298e+17,4196983835.0,https://twitter.com/dog_rates/status/773308824254029826/photo/1,12,10,2016-09-06,2016.0,9.0,6.0,23:56:05 ,2,23.0,Twitter for iPhone,,Bungalo,,,,,,,,,,,,,,1.2
260,842892208864923648,RT @dog_rates: This is Stephan. He just wants to help. 13/10 such a good boy https://t.co/DkBYaCAg2d,8.071068405092147e+17,4196983835.0,"https://twitter.com/dog_rates/status/807106840509214720/video/1,https://twitter.com/dog_rates/status/807106840509214720/video/1",13,10,2016-12-09,2016.0,12.0,9.0,06:17:20 ,0,6.0,Twitter for iPhone,,Stephan,https://pbs.twimg.com/ext_tw_video_thumb/807106774843039744/pu/img/8XZg1xW35Xp2J6JW.jpg,1.0,Chihuahua,0.50537,True,Pomeranian,0.120358,True,toy_terrier,0.0770081,True,,,1.3
266,841833993020538882,RT @dog_rates: This is Ken. His cheeks are magic. 13/10 (IG: ken_shiba) https://t.co/btzf1zTDeQ,8.174238601360835e+17,4196983835.0,"https://twitter.com/dog_rates/status/817423860136083457/video/1,https://twitter.com/dog_rates/status/817423860136083457/video/1",13,10,2017-01-06,2017.0,1.0,6.0,17:33:29 ,2,17.0,Twitter for iPhone,,Ken,https://pbs.twimg.com/ext_tw_video_thumb/817423809049493505/pu/img/5OFW0yueFu9oTUiQ.jpg,1.0,ice_bear,0.3362,False,Samoyed,0.201358,True,Eskimo_dog,0.186789,True,,,1.3
272,840761248237133825,"RT @dog_rates: Say hello to Maddie and Gunner. They are considerably pupset about bath time. Both 12/10 but Gunner needs your help

https:/…",8.406323370628628e+17,4196983835.0,"https://www.gofundme.com/3hgsuu0,https://twitter.com/dog_rates/status/840632337062862849/photo/1",12,10,2017-03-11,2017.0,3.0,11.0,18:35:42 ,3,18.0,Twitter for iPhone,,Maddie,,,,,,,,,,,,,,1.2
273,840728873075638272,RT @dog_rates: This is Pipsy. He is a fluffball. Enjoys traveling the sea &amp; getting tangled in leash. 12/10 I would kill for Pipsy https://…,6.671521640794235e+17,4196983835.0,https://twitter.com/dog_rates/status/667152164079423490/photo/1,12,10,2015-11-19,2015.0,11.0,19.0,01:27:25 ,0,1.0,Twitter for iPhone,,Pipsy,,,,,,,,,,,,0.0,14568.0,1.2
281,839290600511926273,RT @alexmartindawg: THE DRINK IS DR. PUPPER 10/10 good pun @matt___nelson @GoodDogsGame https://t.co/act3duiqbL,8.392899192982241e+17,41198418.0,"https://twitter.com/alexmartindawg/status/839289919298224128/photo/1,https://twitter.com/alexmartindawg/status/839289919298224128/photo/1,https://twitter.com/alexmartindawg/status/839289919298224128/photo/1,https://twitter.com/alexmartindawg/status/839289919298224128/photo/1",10,10,2017-03-08,2017.0,3.0,8.0,01:41:24 ,1,1.0,Twitter for iPhone,pupper,None,https://pbs.twimg.com/media/C6XBt9XXEAEEW9U.jpg,1.0,web_site,0.670892,False,monitor,0.101565,False,screen,0.0753061,False,0.0,132.0,1.0
285,838916489579200512,RT @KibaDva: I collected all the good dogs!! 15/10 @dog_rates #GoodDogs https://t.co/6UCGFczlOI,8.3890598062882e+17,811740824.0,"https://twitter.com/KibaDva/status/838905980628819968/photo/1,https://twitter.com/KibaDva/status/838905980628819968/photo/1,https://twitter.com/KibaDva/status/838905980628819968/photo/1,https://twitter.com/KibaDva/status/838905980628819968/photo/1",15,10,2017-03-07,2017.0,3.0,7.0,00:15:46 ,0,0.0,Twitter for iPhone,,None,https://pbs.twimg.com/media/C6RkiQZUsAAM4R4.jpg,2.0,web_site,0.993651,False,monitor,0.0014059,False,envelope,0.00109309,False,0.0,31.0,1.5
286,838831947270979586,RT @dog_rates: This is Riley. His owner put a donut pillow around him and he loves it so much he won't let anyone take it off. 13/10 https:…,7.838399664052306e+17,4196983835.0,"https://twitter.com/dog_rates/status/783839966405230592/photo/1,https://twitter.com/dog_rates/status/783839966405230592/photo/1,https://twitter.com/dog_rates/status/783839966405230592/photo/1",13,10,2016-10-06,2016.0,10.0,6.0,01:23:05 ,19,1.0,Twitter for iPhone,,Riley,,,,,,,,,,,,,,1.3
289,838201503651401729,RT @dog_rates: Meet Sunny. He can take down a polar bear in one fell swoop. Fr*cken deadly af. 13/10 would pet with caution https://t.co/EM…,8.207497168456868e+17,4196983835.0,"https://twitter.com/dog_rates/status/820749716845686786/photo/1,https://twitter.com/dog_rates/status/820749716845686786/photo/1",13,10,2017-01-15,2017.0,1.0,15.0,21:49:15 ,1,21.0,Twitter for iPhone,,Sunny,,,,,,,,,,,,0.0,9161.0,1.3
298,837012587749474308,RT @KennyFromDaBlok: 14/10 h*ckin good hats. will wear daily @dog_rates https://t.co/rHLoU5gS30,8.370113446668124e+17,726634734.0,"https://twitter.com/KennyFromDaBlok/status/837011344666812416/photo/1,https://twitter.com/KennyFromDaBlok/status/837011344666812416/photo/1",14,10,2017-03-01,2017.0,3.0,1.0,18:47:10 ,18,18.0,Twitter for iPhone,,None,https://pbs.twimg.com/media/C52pYJXWgAA2BEf.jpg,1.0,toilet_tissue,0.186387,False,cowboy_hat,0.158555,False,sombrero,0.14947,False,,,1.4
302,836648853927522308,"RT @SchafeBacon2016: @dog_rates Slightly disturbed by the outright profanity, but confident doggos were involved. 11/10, would tailgate aga…",8.366481490034852e+17,7.124572472347566e+17,https://twitter.com/SchafeBacon2016/status/836648149003485187/photo/1,11,10,2017-02-28,2017.0,2.0,28.0,18:43:57 ,18,18.0,Twitter for iPhone,,None,,,,,,,,,,,,,,1.1
303,836397794269200385,RT @dog_rates: This is Buddy. He ran into a glass door once. Now he's h*ckin skeptical. 13/10 empowering af (vid by Brittany Gaunt) https:/…,8.178278394877379e+17,4196983835.0,https://twitter.com/dog_rates/status/817827839487737858/video/1,13,10,2017-01-07,2017.0,1.0,7.0,20:18:46 ,2,20.0,Twitter for iPhone,,Buddy,,,,,,,,,,,,0.0,25031.0,1.3
